Time_submitted,Review
2022-04-20 21:45:33,I can find any song I want on this app. I love this!!!!
2022-06-28 09:12:11,"Very outstanding app for songs, podcasts : ) :D"
2022-03-13 06:44:07,"Usually great, but lately keeps shutting off mid song. Very annoying!!!"
2022-03-04 02:35:25,I hate this app I heard it was great but I want to play a song but then it shuffles with other songs I don't even like then I try to skip the song but it won't allow me and it says I only get 6 skips per HOUR I would give 0.001 of a star but I only get to put 1 so good enough. PLEASE MAKE BETTER NOWWW!!!!
2022-04-11 22:56:31,"I love spotify, but the app is awful. It often just decides not to load pages at all, or lag out in other way. Recently, when I play a song, the sound plays but nothing in the UI changes (I.e. it doesn't display the song is playing, meaning I can't skip the song or change the shuffle setting etc.). Very infuriating that such a popular app could work so badly."
2022-05-27 21:57:45,"Download podcasts but they won't play without an internet connection. What's the point? You can't listen to them offline. Edit:won't even play a single podcast all they through, part way through always skips to another episode with you hing anything."
2022-02-22 15:29:04,"Used to love it! All of a sudden - after the last update I guess - my Spotify will not show up on my lock screen. No matter what setting I change, I've logged out, I've reinstalled, nothing works.. Other than that, I have no complaints but this really sucks"
2022-03-13 15:20:05,The best music app out there. Not obly does it let you organize and find you own music but it helps find new artists and songs and podcasts that fit your vibe anytime. Its super organized and easy to use. Definitely my favorite app.
2022-02-23 06:20:01,the recent update was so problematic and laggy. it won't let me use the premium features bc it keep crashing whenever i'm about to buy my premium plan. said there was no network so i have to uninstalled and re-installed it again. pls help me to fix it. thanks.
2022-04-24 02:16:24,Music is th life n Spotify is th best app to listen th music
2022-07-06 02:50:05,Very good app.i listen to lots of music on hear
2022-03-29 04:07:51,"Will choose this app over pandora. Just like that. I like this app and enjoying, keep up the good work"
2022-06-16 07:32:06,Vere cofartable and very clear sound I like very much
2022-02-11 22:24:55,"Nice, you have nice songs almost all the categories."
2022-05-07 01:44:29,"Imagine searching for a song and when you play it, it plays another song."
2022-06-11 23:56:11,I like being able to play music even when my phone is off
2022-04-21 04:55:55,Awesome App for listening to songs...Has a vast collection of songs and is available for all platforms..which makes it very easy to use.. Android app has bugs though..!! Doesn't work on my Wi-Fi sometimes.. Hopefully the pesky bugs are removed ASAP...
2022-05-20 01:10:15,music keeps randomly playing on its own. the app will be completely closed and then suddenly opens by itself. cannot find a solution to this.
2022-01-22 15:54:22,Loving it so far. Would recommend over Apple Music any day.
2022-05-13 14:43:40,"As amazing as it is to get to listen to the music YOU love, it would be nice if you just got THAT, not the excessive amount of recommended songs this bull app gives when you just want to listen to an album. No, Spotify, I would not like to hear the 50 million additional songs you've added to my playlist for me to try. Why? Because it is MY PLAYLIST with the songs I like, not you and your people, ME!"
2022-06-25 08:18:26,Has all the songs and bands I listen too...
2022-06-13 20:24:55,Please fix the shuffle function - it's literally been broken for years. I have to uninstall and reinstall often. Please fix this basic function
